C_CUSTKEY,C_NAME,C_ADDRESS,C_CITY,C_NATION,C_REGION,C_PHONE,C_MKTSEGMENT
8132,Customer#000008132,"ei,Klta",ROMANIA  8,ROMANIA,EUROPE,29-414-823-3381,FURNITURE
8134,Customer#000008134,Jz4iGQt1GmOS0eXWL074Hx,INDONESIA0,INDONESIA,ASIA,19-374-488-7897,FURNITURE
8135,Customer#000008135,",hUC Q5AOD1Quh1es",SAUDI ARA1,SAUDI ARABIA,MIDDLE EAST,30-415-508-2104,HOUSEHOLD
8137,Customer#000008137,1zR5xOyD,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-117-995-8061,AUTOMOBILE
8140,Customer#000008140,tOd1hUF5gm,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-337-749-1584,HOUSEHOLD
8141,Customer#000008141,x9EDO2z3e,CANADA   2,CANADA,AMERICA,13-109-371-7522,HOUSEHOLD
8143,Customer#000008143,"0K1RcF6w10E,OlacYd",ROMANIA  1,ROMANIA,EUROPE,29-649-455-8480,HOUSEHOLD
8144,Customer#000008144,9iG6l5DGgcwlHLLyF3b,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-797-345-3200,HOUSEHOLD
8146,Customer#000008146,KS78BSAZavte9WWVvRODo,ALGERIA  8,ALGERIA,AFRICA,10-849-330-7136,BUILDING
8147,Customer#000008147,HGMovw,IRAQ     1,IRAQ,MIDDLE EAST,21-258-954-5749,BUILDING
8149,Customer#000008149,65Gt0BG6sLQ,INDONESIA8,INDONESIA,ASIA,19-998-100-5010,HOUSEHOLD
8150,Customer#000008150,"I,InOPGQKpwp5W",ALGERIA  8,ALGERIA,AFRICA,10-567-285-6367,MACHINERY
8152,Customer#000008152,yykRI5LWbkMthT983wNoJslZ,JAPAN    7,JAPAN,ASIA,22-806-240-1501,MACHINERY
8153,Customer#000008153,217BcnhyXGb9ZbB3R,MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-351-990-1105,MACHINERY
8155,Customer#000008155,JANbclKhiHEe,BRAZIL   7,BRAZIL,AMERICA,12-483-485-2291,FURNITURE
8156,Customer#000008156,atn7knmFwqpDmhSWMceJ5vd,IRAQ     8,IRAQ,MIDDLE EAST,21-186-469-2803,HOUSEHOLD
8158,Customer#000008158,BDAfZRi9 ,INDONESIA8,INDONESIA,ASIA,19-236-584-4866,HOUSEHOLD
8161,Customer#000008161,6F3tRG0CG8,ROMANIA  0,ROMANIA,EUROPE,29-747-718-5014,FURNITURE
8162,Customer#000008162,8WLPTtBTrDDsWHNpP,ALGERIA  3,ALGERIA,AFRICA,10-497-799-1976,MACHINERY
8164,Customer#000008164,KZb5Fh2,IRAQ     6,IRAQ,MIDDLE EAST,21-103-307-2152,AUTOMOBILE
8167,Customer#000008167,ejXGrDYtDLtV,IRAQ     9,IRAQ,MIDDLE EAST,21-461-351-1086,BUILDING
8170,Customer#000008170,XgVAUJ,JORDAN   3,JORDAN,MIDDLE EAST,23-143-112-4569,AUTOMOBILE
8171,Customer#000008171,NP VtROxs1SHQ,CANADA   2,CANADA,AMERICA,13-575-957-4714,MACHINERY
8173,Customer#000008173,erXBSWJj6kcM7D4Of6g46Bwo,VIETNAM  6,VIETNAM,ASIA,31-999-678-6624,AUTOMOBILE
8176,Customer#000008176,uvYOuO1mpvvTNC,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-464-629-7568,HOUSEHOLD
8177,Customer#000008177,UugaQOSxJoO 41zeo,CHINA    2,CHINA,ASIA,28-829-957-8445,HOUSEHOLD
8179,Customer#000008179,m04ddvHRmxD8vQTZPj3B9nZb,CANADA   8,CANADA,AMERICA,13-811-190-9362,HOUSEHOLD
8180,Customer#000008180,y3LiemRM9uh9S,RUSSIA   1,RUSSIA,EUROPE,32-959-832-9056,AUTOMOBILE
8182,Customer#000008182,"TMGhtcAS,e5h7tBX",UNITED KI2,UNITED KINGDOM,EUROPE,33-522-131-3115,BUILDING
8183,Customer#000008183,x48VKI,INDONESIA1,INDONESIA,ASIA,19-329-799-5652,HOUSEHOLD
8185,Customer#000008185,iWC kbu1M,CHINA    3,CHINA,ASIA,28-203-941-4035,FURNITURE
8186,Customer#000008186,w7PW2PIvOE,PERU     4,PERU,AMERICA,27-514-854-1177,MACHINERY
8188,Customer#000008188,LziDa3D,CANADA   2,CANADA,AMERICA,13-577-893-4195,HOUSEHOLD
8189,Customer#000008189,M0 Jxnc8Oaa2BHTJ74T68f72,ALGERIA  0,ALGERIA,AFRICA,10-148-829-4961,MACHINERY
8191,Customer#000008191,sNPETBeIAKNZk8neKQYbox5,BRAZIL   3,BRAZIL,AMERICA,12-667-380-7232,BUILDING
8192,Customer#000008192,Q9QTXdVEeLbiSvoYT5K,MOROCCO  1,MOROCCO,AFRICA,25-907-187-3517,AUTOMOBILE
8194,Customer#000008194,"2Q2GJh3TOEsZ 4R,pa",ALGERIA  0,ALGERIA,AFRICA,10-478-472-8564,FURNITURE
8195,Customer#000008195,FxJc00t8eeb8TdxR4,ALGERIA  2,ALGERIA,AFRICA,10-828-148-8210,MACHINERY
8197,Customer#000008197,tQbKT474dKAf,IRAQ     4,IRAQ,MIDDLE EAST,21-737-504-6577,FURNITURE
8198,Customer#000008198,kOOZz0jEl39KZf,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-550-787-7854,HOUSEHOLD
8200,Customer#000008200,ZrX5fKll2yMN1NiH,ETHIOPIA 4,ETHIOPIA,AFRICA,15-858-765-8725,BUILDING
8201,Customer#000008201,zO57ivh 54hH,ROMANIA  6,ROMANIA,EUROPE,29-280-996-8442,MACHINERY
8203,Customer#000008203,uXS3nUs,CANADA   7,CANADA,AMERICA,13-358-238-4208,FURNITURE
8204,Customer#000008204,jvE0qXGqfwIr9ELeFbH5de,JAPAN    7,JAPAN,ASIA,22-456-608-1245,AUTOMOBILE
8206,Customer#000008206,mEZCm82uPs0,ARGENTINA5,ARGENTINA,AMERICA,11-506-554-7113,AUTOMOBILE
8209,Customer#000008209,"9,q4oa9ZaMh",MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-196-666-3681,MACHINERY
8210,Customer#000008210,eOhxE1,RUSSIA   5,RUSSIA,EUROPE,32-340-891-7969,MACHINERY
8212,Customer#000008212,yINKEnhkJ54Zsd6bpJNR7,ROMANIA  2,ROMANIA,EUROPE,29-535-449-7455,MACHINERY
8213,Customer#000008213,yDhoXBPHZaGYCHn8rSN7SxPT,ROMANIA  8,ROMANIA,EUROPE,29-291-209-4282,FURNITURE
8215,Customer#000008215,uL51 uzZeqqk,ARGENTINA5,ARGENTINA,AMERICA,11-349-206-8149,AUTOMOBILE
8216,Customer#000008216,O39u2se6tUf,INDIA    3,INDIA,ASIA,18-766-707-2755,MACHINERY
8219,Customer#000008219,anKybMqF3g6utTMjzd3yro,IRAN     7,IRAN,MIDDLE EAST,20-766-707-7703,BUILDING
8221,Customer#000008221,"rKl ,bxs9wFhcwgseM",MOZAMBIQU2,MOZAMBIQUE,AFRICA,26-267-819-4657,HOUSEHOLD
8222,Customer#000008222,noksHcraH02MGAd,JAPAN    8,JAPAN,ASIA,22-288-899-6138,BUILDING
8224,Customer#000008224,wghjQRL5pncDwTYAEt03IUhF,ROMANIA  0,ROMANIA,EUROPE,29-241-193-6454,FURNITURE
8225,Customer#000008225,D7OsoyboPNZQYUobzFvu vYu,CHINA    0,CHINA,ASIA,28-787-555-9921,AUTOMOBILE
8227,Customer#000008227,"vuBT,gAj0Eb ",BRAZIL   6,BRAZIL,AMERICA,12-466-493-5928,MACHINERY
8228,Customer#000008228,5hR4Ba6073MQiFzkz,CANADA   2,CANADA,AMERICA,13-446-113-8959,BUILDING
8230,Customer#000008230,tszYCFl6Cl,BRAZIL   5,BRAZIL,AMERICA,12-824-535-3150,FURNITURE
8231,Customer#000008231,czMej4fiRc61PJ3CpduVJ82,FRANCE   8,FRANCE,EUROPE,16-495-762-4279,AUTOMOBILE
8233,Customer#000008233,Ow7GMiqU,INDONESIA8,INDONESIA,ASIA,19-129-650-4836,HOUSEHOLD
8234,Customer#000008234,0FqQMzffG2PQWKDiZ,IRAQ     2,IRAQ,MIDDLE EAST,21-635-138-8492,AUTOMOBILE
8236,Customer#000008236,5 NmBKGxTF,GERMANY  7,GERMANY,EUROPE,17-368-817-3770,HOUSEHOLD
8237,Customer#000008237,noccZV2l7PgTKC,EGYPT    2,EGYPT,MIDDLE EAST,14-491-420-6697,MACHINERY
8239,Customer#000008239,NVq93eF4Xuj5,GERMANY  7,GERMANY,EUROPE,17-484-787-5552,AUTOMOBILE
8240,Customer#000008240,aE waYpRRKm4r,CANADA   9,CANADA,AMERICA,13-679-715-7249,FURNITURE
8242,Customer#000008242,cYDWDiJt06B8CYzXX,ETHIOPIA 0,ETHIOPIA,AFRICA,15-589-307-2743,AUTOMOBILE
8243,Customer#000008243,H48HGso8Xg77cYu52y,JORDAN   3,JORDAN,MIDDLE EAST,23-409-888-8140,AUTOMOBILE
8245,Customer#000008245,vBIav8,ARGENTINA4,ARGENTINA,AMERICA,11-902-975-3132,MACHINERY
8246,Customer#000008246,hUrK2Z r6S8adPUv,PERU     9,PERU,AMERICA,27-161-573-9871,MACHINERY
8248,Customer#000008248,kIpGOd9cHaae7EqLqnCy,EGYPT    9,EGYPT,MIDDLE EAST,14-724-824-9400,AUTOMOBILE
8251,Customer#000008251,BzueYMdnV AaxBqrPzfU,CHINA    1,CHINA,ASIA,28-674-575-8926,MACHINERY
8252,Customer#000008252,"T RPCQ,",IRAN     5,IRAN,MIDDLE EAST,20-931-642-1803,HOUSEHOLD
8254,Customer#000008254,I4WbB4nj65cEf,MOROCCO  2,MOROCCO,AFRICA,25-134-272-8602,MACHINERY
8257,Customer#000008257,13ofePo0PCGk,ROMANIA  0,ROMANIA,EUROPE,29-816-252-7272,FURNITURE
8258,Customer#000008258,98TBr7HytZJAM003jD,JORDAN   2,JORDAN,MIDDLE EAST,23-999-411-6738,BUILDING
8260,Customer#000008260,9fAqi ,VIETNAM  4,VIETNAM,ASIA,31-931-298-1992,FURNITURE
8261,Customer#000008261,"K d,sqMH5sMvA",ARGENTINA6,ARGENTINA,AMERICA,11-546-561-2981,MACHINERY
8263,Customer#000008263,KLEVFHuZHg5nIbjp98,UNITED KI0,UNITED KINGDOM,EUROPE,33-189-419-9851,HOUSEHOLD
8264,Customer#000008264,UIVQQw5IeyJs0y3AZSznTm,GERMANY  6,GERMANY,EUROPE,17-652-219-8139,AUTOMOBILE
8266,Customer#000008266,9y5TxiNbQfLT3FnNQHyByHwI,ETHIOPIA 8,ETHIOPIA,AFRICA,15-945-802-8200,FURNITURE
8267,Customer#000008267,z90ww09c7PV9h5crV2sWI501,MOROCCO  6,MOROCCO,AFRICA,25-948-575-5541,AUTOMOBILE
8269,Customer#000008269,twQO2rA,ALGERIA  5,ALGERIA,AFRICA,10-192-728-6484,FURNITURE
8270,Customer#000008270,QxgTLA9AX5K,KENYA    8,KENYA,AFRICA,24-699-306-3526,HOUSEHOLD
8272,Customer#000008272,ByUDQdnIu7h,UNITED ST8,UNITED STATES,AMERICA,34-269-918-4937,HOUSEHOLD
8273,Customer#000008273,"z1kRw1lA4nfHPBPn6gn,k7",IRAQ     2,IRAQ,MIDDLE EAST,21-498-806-4375,FURNITURE
8275,Customer#000008275,4qkZUGa,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-434-801-9484,AUTOMOBILE
8276,Customer#000008276,"NwJla,2",UNITED ST5,UNITED STATES,AMERICA,34-900-685-4031,MACHINERY
8278,Customer#000008278,QT9xiicGG0GfDrd,JAPAN    7,JAPAN,ASIA,22-907-850-5392,FURNITURE
8284,Customer#000008284,aBEdDUxBBoxQ,ROMANIA  7,ROMANIA,EUROPE,29-627-711-2385,FURNITURE
8285,Customer#000008285,E9OgIRaFDmmp6qf10,IRAN     3,IRAN,MIDDLE EAST,20-878-322-3354,BUILDING
8287,Customer#000008287,"6l3ZL7,psSkXf",EGYPT    5,EGYPT,MIDDLE EAST,14-189-672-6477,HOUSEHOLD
8288,Customer#000008288,CxUspZXE6P,SAUDI ARA4,SAUDI ARABIA,MIDDLE EAST,30-283-123-3108,AUTOMOBILE
8290,Customer#000008290,rUmYfc228V keejnxViX1,CHINA    8,CHINA,ASIA,28-239-168-1618,HOUSEHOLD
8291,Customer#000008291,aWHIpROzLLXd5cwB9,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-309-429-8703,AUTOMOBILE
8293,Customer#000008293,z9WGJ7B9,INDONESIA0,INDONESIA,ASIA,19-963-872-5712,AUTOMOBILE
8296,Customer#000008296,ilpOnOq 1V,INDIA    9,INDIA,ASIA,18-652-505-4945,BUILDING
8297,Customer#000008297,sKneiLa,ARGENTINA5,ARGENTINA,AMERICA,11-155-606-1588,MACHINERY
8299,Customer#000008299,j2ytWT8dl8dWl,UNITED ST7,UNITED STATES,AMERICA,34-988-993-5405,AUTOMOBILE
8300,Customer#000008300,P47jx0T1CxYcqtgX80crlXGT,BRAZIL   7,BRAZIL,AMERICA,12-602-721-8589,HOUSEHOLD
8302,Customer#000008302,wvQgeLEzfC4gHrBipK1NBHp,INDONESIA0,INDONESIA,ASIA,19-199-917-6391,HOUSEHOLD
8303,Customer#000008303,7vC4cl3ttgS nTBAVjSs4,KENYA    3,KENYA,AFRICA,24-152-386-1638,FURNITURE
8305,Customer#000008305,Zom7BZfT8kpfHGCY,CANADA   3,CANADA,AMERICA,13-120-969-6397,BUILDING
8306,Customer#000008306,eWkdqBieNxM1T6c,SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-361-986-3513,HOUSEHOLD
8308,Customer#000008308,X1A1qY,IRAQ     8,IRAQ,MIDDLE EAST,21-559-442-7757,MACHINERY
8309,Customer#000008309,wgTOnmPQVTbN6b e,CHINA    2,CHINA,ASIA,28-317-881-4414,FURNITURE
8311,Customer#000008311,"6bI0l43,mHsFZ680",UNITED ST0,UNITED STATES,AMERICA,34-449-645-2251,BUILDING
8314,Customer#000008314,G P LSWbFlXkl UZhM,GERMANY  7,GERMANY,EUROPE,17-798-744-7612,MACHINERY
8315,Customer#000008315,RCPN7cEdpO3WZdylq776D,RUSSIA   7,RUSSIA,EUROPE,32-855-105-7799,BUILDING
8317,Customer#000008317,"eLd,L2hOPD",JORDAN   3,JORDAN,MIDDLE EAST,23-613-531-1737,MACHINERY
8318,Customer#000008318,zZh9QF94goEE,PERU     7,PERU,AMERICA,27-139-728-1410,AUTOMOBILE
8320,Customer#000008320,QAARpEUO9e1rBsN6b2JP,UNITED ST5,UNITED STATES,AMERICA,34-405-732-1347,AUTOMOBILE
8321,Customer#000008321,IU FfzTI0RsxwhRqKJOK,IRAQ     0,IRAQ,MIDDLE EAST,21-317-881-4986,HOUSEHOLD
8323,Customer#000008323,Y5XDWQj3YWj,ROMANIA  6,ROMANIA,EUROPE,29-759-952-8456,MACHINERY
8324,Customer#000008324,",co1DO9YV1kSphxLHf",MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-237-358-9071,HOUSEHOLD
8326,Customer#000008326,Fnrw1GpxOFl6w,IRAQ     0,IRAQ,MIDDLE EAST,21-991-373-4854,BUILDING
8327,Customer#000008327,"4l9v,,iZacFVIIlsr9Qoj",CHINA    7,CHINA,ASIA,28-769-724-4231,BUILDING
8329,Customer#000008329,oJR59hOcBwyWIGfc1KFx,INDIA    9,INDIA,ASIA,18-977-554-7767,BUILDING
8330,Customer#000008330,zbMlAf iBSdh,GERMANY  7,GERMANY,EUROPE,17-128-979-1102,HOUSEHOLD
8332,Customer#000008332,"3HUOJaGxN,hlgEI",SAUDI ARA0,SAUDI ARABIA,MIDDLE EAST,30-955-581-4935,AUTOMOBILE
8333,Customer#000008333,V7yVeXJanIDGI,EGYPT    9,EGYPT,MIDDLE EAST,14-207-503-6962,BUILDING
8335,Customer#000008335,x0yoyYzTaoLpFbiRP,IRAQ     3,IRAQ,MIDDLE EAST,21-559-271-1219,BUILDING
8336,Customer#000008336,"m,4Krjzn7Db",BRAZIL   6,BRAZIL,AMERICA,12-500-434-2002,MACHINERY
8338,Customer#000008338,cLkEZQvX8m18d77wgR7Qv,INDIA    3,INDIA,ASIA,18-413-805-3070,FURNITURE
8339,Customer#000008339,HXNawO8w9OkQE,MOROCCO  4,MOROCCO,AFRICA,25-888-173-5005,FURNITURE
8341,Customer#000008341,"bdWp9,m0bSTJnbG0gq5Sk z",ARGENTINA6,ARGENTINA,AMERICA,11-967-796-7992,HOUSEHOLD
8342,Customer#000008342,JMODDIY8Q,CANADA   3,CANADA,AMERICA,13-575-535-6387,MACHINERY
8344,Customer#000008344,tvihyi25fFCrrOtdv,JAPAN    5,JAPAN,ASIA,22-463-244-9738,HOUSEHOLD
8345,Customer#000008345,NLNX1MxFR,CHINA    4,CHINA,ASIA,28-595-638-5461,FURNITURE
8347,Customer#000008347,"nB96xVAU2mTikyjdoE,oc",INDONESIA2,INDONESIA,ASIA,19-463-310-4165,FURNITURE
8348,Customer#000008348,yeQs8nnYtbyL1uD37OvAL,CHINA    5,CHINA,ASIA,28-132-122-7260,HOUSEHOLD
8350,Customer#000008350,yuSVG8gRZKk76pxHpGk520E,RUSSIA   3,RUSSIA,EUROPE,32-556-340-9160,FURNITURE
8351,Customer#000008351,AF4GY4pb,CANADA   8,CANADA,AMERICA,13-947-329-2262,BUILDING
8353,Customer#000008353,1iBiisI73i5UItMQTGZNTeqS,ALGERIA  1,ALGERIA,AFRICA,10-810-622-2518,BUILDING
8354,Customer#000008354,"C,khBiEdwgPnkv",MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-586-223-7409,MACHINERY
8356,Customer#000008356,05R b3utQ,FRANCE   9,FRANCE,EUROPE,16-937-696-4016,HOUSEHOLD
8357,Customer#000008357,9WXwp8LhvsD2TJpabVZ,MOROCCO  8,MOROCCO,AFRICA,25-315-536-5247,AUTOMOBILE
8359,Customer#000008359,oQyOSrCN01xAeHR,MOROCCO  1,MOROCCO,AFRICA,25-884-366-8795,AUTOMOBILE
8360,Customer#000008360,BDNcxhn3,FRANCE   8,FRANCE,EUROPE,16-564-109-4010,MACHINERY
8362,Customer#000008362,x0JLK6Xa2zyjH6fI,ROMANIA  3,ROMANIA,EUROPE,29-881-222-6759,BUILDING
8363,Customer#000008363,hfRVXmR U1jfWWRiSK1OF0,JAPAN    7,JAPAN,ASIA,22-181-882-3397,FURNITURE
8365,Customer#000008365,51sbilIvFUqvXH6BNr15t,ETHIOPIA 1,ETHIOPIA,AFRICA,15-975-162-2889,MACHINERY
8366,Customer#000008366,ef 7 WNrYZrDteSLWz7,KENYA    0,KENYA,AFRICA,24-928-343-6391,MACHINERY
8368,Customer#000008368,DPMMk0vOis3Oiee0RrF,ETHIOPIA 4,ETHIOPIA,AFRICA,15-745-566-5639,FURNITURE
8369,Customer#000008369,XF3zEO72pQCff,ALGERIA  6,ALGERIA,AFRICA,10-656-847-7545,BUILDING
8371,Customer#000008371,JeTBJEMyTzVitP,GERMANY  8,GERMANY,EUROPE,17-114-158-3046,MACHINERY
8374,Customer#000008374,3ZvyG9vwUL7sl2e4f9,BRAZIL   7,BRAZIL,AMERICA,12-215-928-3338,FURNITURE
8375,Customer#000008375,3LQXzTLv7ZS4wBy,CANADA   9,CANADA,AMERICA,13-597-932-1556,HOUSEHOLD
8377,Customer#000008377,v If1sb885TOQrpCJ,IRAQ     5,IRAQ,MIDDLE EAST,21-485-145-7114,BUILDING
8378,Customer#000008378,3KhAwZ2tk,CANADA   2,CANADA,AMERICA,13-311-258-8895,FURNITURE
8380,Customer#000008380,q6rEqwc,CHINA    1,CHINA,ASIA,28-347-205-2631,HOUSEHOLD
8381,Customer#000008381,7kbg8wegbgGmgiW8OQ4SbJ,ALGERIA  0,ALGERIA,AFRICA,10-294-314-6077,AUTOMOBILE
8383,Customer#000008383,l2jIITUbyi97c fJKEDDpHO,CHINA    6,CHINA,ASIA,28-740-121-2726,FURNITURE
8384,Customer#000008384,vP3jLi,PERU     3,PERU,AMERICA,27-518-689-5506,MACHINERY
8386,Customer#000008386,XPzYWTR,MOROCCO  2,MOROCCO,AFRICA,25-777-202-8619,AUTOMOBILE
8387,Customer#000008387,mXfR2zZMkPG4ygYTQVz0A,PERU     6,PERU,AMERICA,27-272-590-1139,AUTOMOBILE
8389,Customer#000008389,CekmziH9qULwdC2Cyjd7zZA,FRANCE   5,FRANCE,EUROPE,16-312-257-7638,MACHINERY
8390,Customer#000008390,IZ7kdKRzWv9NW4iT1KKdkQ,JORDAN   0,JORDAN,MIDDLE EAST,23-789-795-7232,MACHINERY
8392,Customer#000008392,"Yiqa1zjC,kIV0Gdur",SAUDI ARA4,SAUDI ARABIA,MIDDLE EAST,30-855-846-9956,HOUSEHOLD
8393,Customer#000008393,y2wlhAlWgAjSye0myEAGQoWZ,JAPAN    3,JAPAN,ASIA,22-599-158-8957,FURNITURE
8395,Customer#000008395,GtSYsW5,INDIA    2,INDIA,ASIA,18-913-237-9435,HOUSEHOLD
8396,Customer#000008396,tEcqfAxsKDsiUG3CZohXJNA,UNITED ST1,UNITED STATES,AMERICA,34-415-241-3486,HOUSEHOLD
8398,Customer#000008398,pKTvllVAIDDSWZsQ dsjv5,BRAZIL   7,BRAZIL,AMERICA,12-651-106-4524,FURNITURE
8399,Customer#000008399,"kG,DZHh9F,J,7FkqOJp",PERU     5,PERU,AMERICA,27-563-478-7478,FURNITURE
8401,Customer#000008401,1WJKPP,PERU     4,PERU,AMERICA,27-651-332-4155,BUILDING
8402,Customer#000008402,vCmQRHMu6,ROMANIA  9,ROMANIA,EUROPE,29-936-340-4567,AUTOMOBILE
8404,Customer#000008404,vtYucOkcumveHRi lgoogmhF,KENYA    6,KENYA,AFRICA,24-900-195-7299,AUTOMOBILE
8405,Customer#000008405,Ebl5eb,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-498-838-3970,AUTOMOBILE
8407,Customer#000008407,"ALorSgRZ2U5ss6ZLClme,eX",BRAZIL   2,BRAZIL,AMERICA,12-971-788-8866,FURNITURE
8410,Customer#000008410,B yZipxVDAtUnwr6CMzi2,UNITED KI9,UNITED KINGDOM,EUROPE,33-337-859-7423,AUTOMOBILE
8413,Customer#000008413,k5Jahq,VIETNAM  4,VIETNAM,ASIA,31-551-431-3154,HOUSEHOLD
8414,Customer#000008414,"v8d,34dKhbTKh3vQqPE",ETHIOPIA 3,ETHIOPIA,AFRICA,15-334-259-1475,FURNITURE
8416,Customer#000008416,"jWVGbRlH,VfkwlHqdAp3",VIETNAM  0,VIETNAM,ASIA,31-885-964-1380,AUTOMOBILE
8417,Customer#000008417,CcAMny6jvtxarh6,GERMANY  0,GERMANY,EUROPE,17-890-630-5077,MACHINERY
8419,Customer#000008419,wsPR91KF6rxF,INDIA    1,INDIA,ASIA,18-515-404-2530,MACHINERY
8420,Customer#000008420,"Tay,bJgm",INDIA    7,INDIA,ASIA,18-686-207-1793,AUTOMOBILE
8422,Customer#000008422," yaV,nyZA3odM9F",GERMANY  9,GERMANY,EUROPE,17-124-385-6184,BUILDING
8423,Customer#000008423,AcpqO1NSeoDpNqEmHDEU,ETHIOPIA 3,ETHIOPIA,AFRICA,15-886-441-6719,FURNITURE
8425,Customer#000008425,MM7ch8uue6EjUz3BZmu7v,JAPAN    5,JAPAN,ASIA,22-435-981-4572,AUTOMOBILE
8426,Customer#000008426,"kNou7xM4,",ETHIOPIA 7,ETHIOPIA,AFRICA,15-317-422-8516,AUTOMOBILE
8428,Customer#000008428,IjFwYCcu6cUM3 SJx,JORDAN   2,JORDAN,MIDDLE EAST,23-333-974-3259,BUILDING
8429,Customer#000008429,h25eFiopcnzeTsT9YQMC6o,IRAN     5,IRAN,MIDDLE EAST,20-321-506-8868,BUILDING
8431,Customer#000008431,ZYSKEr,INDIA    4,INDIA,ASIA,18-409-824-2204,BUILDING
8432,Customer#000008432,pF7vaKwdlNd,CANADA   8,CANADA,AMERICA,13-793-419-8819,BUILDING
8434,Customer#000008434,euq5X6IUF,ROMANIA  6,ROMANIA,EUROPE,29-773-780-2952,AUTOMOBILE
8437,Customer#000008437,9BJasA2Ai5pd8Yho8SRbX,EGYPT    6,EGYPT,MIDDLE EAST,14-920-556-3585,HOUSEHOLD
8438,Customer#000008438,2pzLMC56u5,UNITED ST6,UNITED STATES,AMERICA,34-455-872-5524,AUTOMOBILE
8440,Customer#000008440,gN8x7uq6afGujqAgZuM,ROMANIA  3,ROMANIA,EUROPE,29-830-798-5508,HOUSEHOLD
8441,Customer#000008441,Hw2MaUomakpdAYEDUyRFif,ROMANIA  9,ROMANIA,EUROPE,29-519-899-3640,HOUSEHOLD
8443,Customer#000008443,kVLCgiXxtVViv,UNITED KI5,UNITED KINGDOM,EUROPE,33-665-729-8819,BUILDING
8444,Customer#000008444,wV65CGUIqJrF5cFkNazc,RUSSIA   9,RUSSIA,EUROPE,32-894-570-7539,AUTOMOBILE
8446,Customer#000008446,SNKfJpD,SAUDI ARA8,SAUDI ARABIA,MIDDLE EAST,30-363-543-3044,HOUSEHOLD
8447,Customer#000008447,"nIe0B,0Gm6rIfVG",JORDAN   8,JORDAN,MIDDLE EAST,23-286-886-1525,AUTOMOBILE
8449,Customer#000008449,COUKGPzzQLckld0KrDoI,JAPAN    8,JAPAN,ASIA,22-477-505-9830,BUILDING
8452,Customer#000008452,xjGPbF,FRANCE   9,FRANCE,EUROPE,16-768-907-5844,MACHINERY
8455,Customer#000008455,amhl18yjZT,CANADA   7,CANADA,AMERICA,13-842-743-5966,MACHINERY
8456,Customer#000008456,Yc4BNZeCpF,CHINA    6,CHINA,ASIA,28-761-892-2291,HOUSEHOLD
8458,Customer#000008458,9BFCQvO7z3uszmX6,IRAQ     7,IRAQ,MIDDLE EAST,21-833-137-2903,FURNITURE
8459,Customer#000008459,5Wv71Ezlg,UNITED KI3,UNITED KINGDOM,EUROPE,33-547-936-5167,FURNITURE
8461,Customer#000008461,Xg 6WPQttU ww7EBAaFN56o2,BRAZIL   0,BRAZIL,AMERICA,12-564-735-7840,BUILDING
8462,Customer#000008462,XXcwvwPpE1T2FWvD1quGS,INDIA    3,INDIA,ASIA,18-915-250-4177,MACHINERY
8464,Customer#000008464,"wk3Zb3TXpk,8A1G",MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-735-336-8216,FURNITURE
8465,Customer#000008465,My4eEJ99bJ4MqgLsPbACh,SAUDI ARA7,SAUDI ARABIA,MIDDLE EAST,30-775-818-6257,HOUSEHOLD
8467,Customer#000008467,c4ifmfsch7mUcqPfKFLck,CANADA   2,CANADA,AMERICA,13-873-569-7627,AUTOMOBILE
8468,Customer#000008468,Xgs2Hdq,UNITED ST9,UNITED STATES,AMERICA,34-391-542-5713,MACHINERY
8470,Customer#000008470,xTynj9dF9cIizFXcC8qaFl,SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-763-138-6684,AUTOMOBILE
8471,Customer#000008471,QLH4P8pc7,RUSSIA   3,RUSSIA,EUROPE,32-544-132-1786,AUTOMOBILE
8473,Customer#000008473,",fVF,1HYBtmS",INDIA    1,INDIA,ASIA,18-678-917-2642,MACHINERY
8474,Customer#000008474,8pglITwS3EnBrCR,KENYA    0,KENYA,AFRICA,24-163-487-9110,AUTOMOBILE
8476,Customer#000008476,"S Lt8bXx,ZfM4F",UNITED ST7,UNITED STATES,AMERICA,34-586-744-9940,AUTOMOBILE
8479,Customer#000008479,0MEo06W40abUVcqtIXYRsb,UNITED ST8,UNITED STATES,AMERICA,34-760-588-6517,HOUSEHOLD
8482,Customer#000008482,b4R7tsw27SrdozpbAKFp,INDIA    7,INDIA,ASIA,18-325-662-4279,FURNITURE
